Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Tuition fees up to date,Curricular units 2nd sem (evaluations),Previous qualification (grade),Age at enrollment,Curricular units 1st sem (evaluations),Course,Father's occupation,Mother's occupation,GDP,Unemployment rate,Application mode,Father's qualification,Inflation rate,Mother's qualification,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Scholarship holder,Application order,Debtor,Gender
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,100.0,1.0,0.0,102.5,34.0,4.0,9991.0,9.0,9.0,-1.7,12.7,39.0,37.0,3.7,37.0,5.0,4.0,0,2.0,0,1.0
Graduate,6.0,14.16666667,6.0,12.28571429,160.15000000000003,1.0,7.0,133.1,34.0,8.0,9773.0,6.0,6.0,1.74,10.8,39.0,37.0,1.4,37.0,6.0,6.0,1,1.0,1,1.0
Enrolled,4.0,14.375,3.0,14.5,153.0,1.0,8.0,102.5,22.0,7.0,9500.0,8.0,2.0,-4.06,15.5,42.0,19.0,2.8,3.0,7.0,6.0,0,1.0,0,1.0
Dropout,1.0,10.0,2.0,10.0,131.4,1.0,7.0,137.0,22.0,8.0,9147.0,9.0,5.0,0.32,7.6,17.0,37.0,2.6,1.0,5.0,5.0,0,1.0,0,1.0
Dropout,2.0,12.0,2.0,11.5,128.2,1.0,8.0,120.0,33.0,11.0,9130.0,1.0,1.0,-3.12,9.4,7.0,3.0,-0.8,3.0,5.0,5.0,0,1.0,0,0.0
Graduate,4.0,11.5,5.0,11.6,148.9,1.0,6.0,148.9,20.0,6.0,9670.0,9.0,9.0,-3.12,9.4,10.0,37.0,-0.8,37.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,11.66666667,6.0,12.5,128.4,1.0,6.0,134.0,18.0,6.0,9238.0,7.0,7.0,1.74,10.8,1.0,19.0,1.4,38.0,6.0,6.0,1,3.5,0,0.0
Dropout,2.0,11.0,3.0,11.66666667,120.3,0.0,10.0,128.0,20.0,9.0,9853.0,9.0,9.0,1.74,10.8,1.0,37.0,1.4,38.0,6.0,6.0,0,3.5,1,0.0
Graduate,10.0,11.6,7.0,13.42857143,100.0,1.0,11.0,133.1,34.0,11.0,9991.0,6.0,4.0,3.51,8.9,57.0,37.0,1.4,38.0,10.0,10.0,0,1.0,0,0.0
Graduate,6.0,13.5,6.0,13.66666667,126.1,1.0,6.0,131.0,18.0,6.0,9254.0,3.0,9.0,0.32,7.6,1.0,1.0,2.6,37.0,6.0,6.0,0,1.0,0,1.0
Graduate,6.0,12.16666667,6.0,12.5,111.7,1.0,6.0,118.0,19.0,6.0,9254.0,9.0,9.0,1.79,12.4,1.0,19.0,0.5,1.0,6.0,6.0,0,3.0,0,0.0
Graduate,4.0,12.8,6.0,13.0,140.0,1.0,15.0,140.0,21.0,7.0,9085.0,3.0,3.0,1.79,12.4,44.0,19.0,0.5,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,12.84285714,6.0,12.78333333,122.2,1.0,9.0,133.0,20.0,9.0,9500.0,1.0,9.0,0.79,13.9,1.0,1.0,-0.3,19.0,8.0,7.0,0,2.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,118.7,1.0,0.0,126.0,19.0,0.0,9500.0,7.0,7.0,0.79,13.9,1.0,1.0,-0.3,37.0,8.0,7.0,0,2.0,0,0.0
Dropout,4.0,11.225,4.0,13.5,121.5,1.0,11.0,125.0,20.0,13.0,9556.0,7.0,7.0,2.02,11.1,17.0,19.0,0.6,38.0,7.0,7.0,0,2.0,0,0.0
Graduate,8.0,15.125,7.0,13.45714286,134.5,1.0,8.0,138.0,18.0,7.0,9500.0,5.0,2.0,0.79,13.9,17.0,1.0,-0.3,3.0,8.0,7.0,0,3.5,0,0.0
Graduate,7.0,13.44285714,7.0,13.44285714,127.0,1.0,8.0,140.0,19.0,8.0,9500.0,7.0,9.0,-1.7,12.7,1.0,19.0,3.7,1.0,8.0,8.0,0,3.5,0,0.0
Graduate,5.0,10.83333333,4.0,11.0,114.2,1.0,12.0,124.0,18.0,13.0,9238.0,3.0,9.0,-4.06,15.5,1.0,38.0,2.8,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.28571429,6.0,11.33333333,125.3,1.0,7.0,133.0,18.0,6.0,9238.0,7.0,7.0,-4.06,15.5,17.0,38.0,2.8,38.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,2.0,10.0,120.4,1.0,1.0,127.0,18.0,7.0,9773.0,5.0,4.0,-1.7,12.7,1.0,19.0,3.7,1.0,2.0,5.0,0,2.0,0,0.0
Enrolled,6.0,13.06666667,5.0,13.44,123.0,1.0,8.0,138.0,19.0,10.0,9500.0,9.0,3.0,1.79,12.4,1.0,38.0,0.5,1.0,7.0,7.0,0,3.5,0,0.0
Graduate,8.0,14.0625,7.0,12.21428571,130.5,1.0,8.0,142.0,18.0,8.0,9556.0,5.0,4.0,-0.92,16.2,1.0,19.0,0.3,1.0,8.0,7.0,1,2.0,0,0.0
Graduate,6.0,13.5,6.0,14.16666667,125.5,1.0,6.0,130.0,19.0,6.0,9070.0,8.0,9.0,2.02,11.1,1.0,19.0,0.6,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,11.0,12.63636364,10.5,12.84615385,133.8,1.0,13.0,130.0,24.0,13.0,9003.0,7.0,9.0,3.51,8.9,53.0,19.0,1.4,1.0,10.0,10.0,1,1.0,1,0.0
Enrolled,2.0,12.0,6.0,13.0,150.0,1.0,16.0,150.0,20.0,8.0,9085.0,9.0,9.0,1.79,12.4,44.0,37.0,0.5,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,4.0,11.25,5.0,12.8,130.5,1.0,7.0,127.0,21.0,6.0,9147.0,7.0,5.0,-3.12,9.4,1.0,19.0,-0.8,1.0,5.0,5.0,1,1.0,0,0.0
Dropout,5.0,12.0,4.0,13.0,140.0,0.0,11.0,140.0,20.0,13.0,9085.0,10.0,4.0,-0.92,16.2,44.0,37.0,0.3,38.0,6.0,6.0,0,1.0,1,0.0
Graduate,8.0,13.66666667,7.0,13.37142857,119.4,1.0,9.0,126.0,19.0,7.0,9500.0,9.0,3.0,-0.92,16.2,17.0,37.0,0.3,19.0,8.0,7.0,1,3.5,0,0.0
Graduate,8.0,13.3875,7.0,13.38571429,121.3,1.0,8.0,139.0,19.0,8.0,9556.0,8.0,9.0,1.74,10.8,17.0,19.0,1.4,19.0,8.0,7.0,1,3.5,0,0.0
Graduate,7.0,13.32857143,7.0,13.32857143,126.3,1.0,8.0,141.0,18.0,8.0,9500.0,9.0,9.0,-1.7,12.7,1.0,1.0,3.7,1.0,8.0,8.0,0,3.0,0,0.0
Graduate,5.0,11.0,5.0,14.0,111.6,1.0,14.0,120.0,19.0,12.0,9085.0,7.0,4.0,-0.92,16.2,1.0,38.0,0.3,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,13.2,5.0,12.6,111.3,1.0,5.0,120.0,21.0,5.0,9147.0,9.0,9.0,3.51,8.9,17.0,19.0,1.4,38.0,5.0,5.0,0,3.5,0,0.0
Graduate,6.0,15.0,6.0,14.0,122.5,1.0,6.0,134.0,19.0,7.0,9853.0,8.0,9.0,-4.06,15.5,1.0,38.0,2.8,1.0,6.0,6.0,1,2.0,0,0.0
Graduate,6.0,12.66666667,6.0,13.42857143,116.5,1.0,6.0,128.0,18.0,7.0,9254.0,10.0,7.0,3.51,8.9,1.0,1.0,1.4,19.0,6.0,6.0,1,3.5,0,0.0
Graduate,6.0,12.5,6.0,13.0,132.0,1.0,6.0,133.0,17.0,6.0,9070.0,4.0,4.0,-4.06,15.5,17.0,1.0,2.8,4.0,6.0,6.0,1,3.5,0,0.0
Enrolled,5.0,11.0,5.0,12.66666667,123.7,1.0,8.0,123.0,19.0,8.0,9853.0,10.0,4.0,-4.06,15.5,18.0,38.0,2.8,19.0,6.0,6.0,0,3.5,0,0.0
Dropout,3.0,12.33333333,3.0,10.0,117.0,0.0,9.0,118.0,23.0,9.0,9147.0,7.0,9.0,-3.12,9.4,17.0,1.0,-0.8,37.0,5.0,5.0,0,3.5,0,1.0
Graduate,6.0,11.77777778,6.0,12.83333333,116.5,1.0,10.0,113.0,19.0,7.0,9670.0,10.0,1.0,3.51,8.9,1.0,37.0,1.4,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.91666667,6.0,12.91666667,121.5,1.0,7.0,135.0,18.0,7.0,9500.0,4.0,9.0,0.32,7.6,1.0,3.0,2.6,19.0,7.0,7.0,0,1.0,0,0.0
Graduate,5.0,13.8,6.0,13.28571429,105.0,1.0,8.0,133.1,20.0,9.0,9670.0,9.0,5.0,-4.06,15.5,1.0,38.0,2.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,13.8,5.0,14.6,121.3,1.0,5.0,130.0,19.0,6.0,9085.0,9.0,9.0,1.74,10.8,1.0,19.0,1.4,1.0,5.0,5.0,1,3.0,0,0.0
Graduate,6.0,13.66666667,6.0,14.0,136.1,1.0,6.0,135.0,18.0,6.0,9238.0,9.0,3.0,1.79,12.4,1.0,38.0,0.5,19.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,15.0,6.0,14.14285714,123.6,1.0,6.0,133.0,19.0,7.0,9238.0,4.0,9.0,0.79,13.9,17.0,37.0,-0.3,37.0,6.0,6.0,1,2.0,0,0.0
Graduate,6.0,12.33333333,6.0,11.66666667,129.0,1.0,6.0,123.0,19.0,8.0,9238.0,10.0,4.0,1.74,10.8,1.0,1.0,1.4,38.0,6.0,6.0,0,3.5,0,0.0
Graduate,8.0,14.3775,8.0,14.3775,136.8,1.0,9.0,145.0,18.0,9.0,9500.0,8.0,4.0,-3.12,9.4,17.0,37.0,-0.8,19.0,8.0,8.0,0,1.0,0,0.0
Graduate,7.0,13.04285714,7.0,12.5,133.4,1.0,9.0,146.0,18.0,8.0,9500.0,6.0,3.0,0.79,13.9,17.0,3.0,-0.3,3.0,8.0,7.0,0,2.0,0,0.0
Graduate,6.0,14.15,6.0,14.15,136.0,1.0,7.0,144.0,19.0,7.0,9500.0,7.0,7.0,0.32,7.6,1.0,38.0,2.6,38.0,7.0,7.0,1,3.5,0,0.0
Graduate,7.0,12.47142857,7.0,12.47142857,125.8,1.0,12.0,144.0,19.0,12.0,9500.0,9.0,9.0,-1.7,12.7,1.0,37.0,3.7,38.0,8.0,8.0,1,1.0,0,0.0
Graduate,6.0,14.15,6.0,14.15,120.5,1.0,7.0,131.0,19.0,7.0,9500.0,1.0,2.0,0.32,7.6,1.0,4.0,2.6,4.0,7.0,7.0,0,1.0,0,0.0
Graduate,8.0,14.0475,7.0,14.07222222,130.2,1.0,8.0,141.0,21.0,11.0,9500.0,8.0,9.0,-4.06,15.5,1.0,37.0,2.8,37.0,8.0,7.0,0,2.0,0,0.0
Graduate,6.0,14.66666667,6.0,14.85714286,135.9,1.0,6.0,138.0,18.0,7.0,9773.0,3.0,2.0,0.79,13.9,1.0,1.0,-0.3,3.0,6.0,6.0,0,3.0,0,0.0
Graduate,6.0,13.16666667,6.0,14.28571429,116.5,1.0,6.0,127.0,19.0,7.0,9773.0,9.0,9.0,2.02,11.1,1.0,37.0,0.6,19.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,124.0,0.0,4.0,124.0,18.0,4.0,9773.0,16.5,16.5,-1.7,12.7,1.0,37.0,3.7,19.0,4.0,4.0,0,3.5,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,140.0,1.0,0.0,140.0,30.0,0.0,8378.5,4.0,4.0,1.74,10.8,7.0,1.0,1.4,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,5.0,15.16666667,6.0,15.0,150.9,1.0,8.0,157.0,18.0,8.0,9130.0,6.0,3.0,0.79,13.9,17.0,2.0,-0.3,3.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.63333333,6.0,12.63333333,127.3,1.0,7.0,129.0,20.0,7.0,9500.0,8.0,4.0,0.32,7.6,1.0,19.0,2.6,19.0,7.0,7.0,1,3.0,0,0.0
Dropout,5.0,12.6,5.0,11.2,100.0,0.0,5.0,133.1,25.0,5.0,9670.0,7.0,4.0,-3.12,9.4,39.0,1.0,-0.8,1.0,5.0,5.0,0,1.0,1,0.0
Graduate,6.0,14.23333333,6.0,14.23333333,128.8,1.0,7.0,142.0,18.0,7.0,9500.0,7.0,5.0,0.32,7.6,1.0,37.0,2.6,38.0,7.0,7.0,0,3.5,0,0.0
Enrolled,3.0,11.33333333,5.0,12.2,119.7,1.0,10.0,133.0,21.0,13.0,9085.0,7.0,4.0,-3.12,9.4,1.0,19.0,-0.8,19.0,5.0,5.0,0,3.0,0,0.0
Graduate,7.0,15.7,7.0,15.7,140.8,1.0,8.0,156.0,18.0,8.0,9500.0,1.0,2.0,-1.7,12.7,1.0,4.0,3.7,5.0,8.0,8.0,0,1.0,0,0.0
Graduate,6.0,15.2,6.0,15.2,138.0,1.0,7.0,151.0,18.0,7.0,9500.0,9.0,9.0,0.32,7.6,1.0,37.0,2.6,37.0,7.0,7.0,0,1.0,0,0.0
Dropout,5.0,15.6,6.0,16.33333333,132.9,0.0,8.0,135.0,29.0,9.0,9853.0,2.0,2.0,-1.7,12.7,17.0,3.0,3.7,3.0,6.0,6.0,0,1.0,0,0.0
Graduate,12.0,12.85714286,10.5,12.5625,140.0,1.0,16.0,140.0,20.0,16.0,9130.0,2.0,2.0,-4.06,15.5,43.0,3.0,2.8,3.0,10.0,10.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,140.0,1.0,0.0,140.0,26.0,0.0,9500.0,4.0,4.0,0.79,13.9,7.0,1.0,-0.3,3.0,8.0,7.0,0,1.0,0,0.0
Graduate,6.0,12.0,5.0,12.4,99.3,1.0,6.0,102.5,21.0,8.0,9238.0,7.0,7.0,1.79,12.4,1.0,1.0,0.5,38.0,6.0,6.0,0,2.0,0,0.0
Graduate,8.0,13.78125,8.0,13.78125,119.3,1.0,9.0,126.0,19.0,9.0,9500.0,5.0,5.0,-3.12,9.4,18.0,19.0,-0.8,37.0,8.0,8.0,1,1.0,0,0.0
Dropout,5.0,11.66666667,6.0,12.16666667,113.2,1.0,8.0,123.0,19.0,10.0,9254.0,5.0,5.0,-0.92,16.2,17.0,19.0,0.3,19.0,6.0,6.0,0,2.0,1,0.0
Enrolled,5.0,11.83333333,5.0,11.8,117.0,1.0,8.0,133.1,21.0,8.0,9773.0,5.0,9.0,-4.06,15.5,17.0,38.0,2.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,4.0,12.0,4.0,10.8,123.0,1.0,15.0,137.0,20.0,13.0,8378.5,3.0,4.0,-0.92,16.2,18.0,1.0,0.3,1.0,6.0,6.0,0,1.0,1,0.0
Graduate,8.0,14.28625,7.0,13.26,127.2,1.0,8.0,138.0,18.0,8.0,9500.0,8.0,9.0,-4.06,15.5,1.0,37.0,2.8,37.0,8.0,7.0,1,3.5,0,0.0
Dropout,3.0,10.66666667,4.0,12.0,141.0,0.0,15.0,128.0,20.0,10.0,9773.0,0.0,3.0,0.32,7.6,1.0,19.0,2.6,34.0,6.0,6.0,0,2.0,0,0.0
Graduate,6.0,14.42857143,6.0,11.875,121.7,1.0,7.0,136.0,20.0,9.0,9238.0,9.0,9.0,-0.92,16.2,1.0,38.0,0.3,19.0,6.0,6.0,1,1.0,0,0.0
Enrolled,2.0,13.4,5.0,12.16,121.1,1.0,7.0,127.0,18.0,11.0,9500.0,7.0,4.0,-0.92,16.2,43.0,19.0,0.3,19.0,7.0,7.0,1,1.0,0,0.0
Enrolled,4.0,12.5,1.0,15.0,146.1,1.0,7.0,145.0,18.0,6.0,9070.0,3.0,3.0,-3.12,9.4,16.0,1.0,-0.8,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,13.2,6.0,13.33333333,142.5,1.0,9.0,140.0,18.0,6.0,9773.0,9.0,9.0,-3.12,9.4,1.0,37.0,-0.8,37.0,6.0,6.0,0,1.0,0,0.0
Enrolled,3.0,11.8,2.0,11.5,126.8,1.0,12.0,138.0,18.0,12.0,9085.0,9.0,2.0,1.74,10.8,17.0,19.0,1.4,2.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,13.0,6.0,14.42857143,150.0,1.0,9.0,150.0,22.0,7.0,9085.0,2.0,2.0,0.79,13.9,44.0,3.0,-0.3,3.0,6.0,6.0,0,1.0,0,0.0
Enrolled,3.0,15.33333333,1.0,13.0,150.0,1.0,8.0,150.0,19.0,10.0,9085.0,1.0,4.0,-1.7,12.7,44.0,19.0,3.7,1.0,5.0,5.0,0,3.0,0,0.0
Graduate,6.0,14.33333333,6.0,15.0,134.5,1.0,8.0,131.0,19.0,7.0,9003.0,2.0,9.0,1.79,12.4,17.0,1.0,0.5,19.0,6.0,6.0,1,1.0,0,0.0
Graduate,8.0,16.8,7.0,15.15555556,129.5,1.0,8.0,136.0,18.0,9.0,9556.0,9.0,9.0,-1.7,12.7,1.0,19.0,3.7,19.0,8.0,7.0,0,2.0,0,0.0
Graduate,6.0,11.85714286,6.0,10.66666667,113.2,1.0,7.0,117.0,20.0,8.0,9238.0,16.5,16.5,2.02,11.1,1.0,38.0,0.6,38.0,6.0,6.0,0,1.0,1,0.0
Dropout,4.0,11.25,5.0,11.0,140.2,1.0,9.0,158.0,18.0,9.0,9853.0,5.0,5.0,1.74,10.8,17.0,37.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,119.2,1.0,0.0,129.0,21.0,0.0,9670.0,5.0,5.0,3.51,8.9,17.0,19.0,1.4,1.0,6.0,6.0,0,2.0,0,0.0
Graduate,6.0,12.0,6.0,12.28571429,140.7,1.0,7.0,140.0,19.0,7.0,9238.0,4.0,4.0,1.79,12.4,1.0,19.0,0.5,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,8.0,12.82875,8.0,12.82875,142.3,1.0,8.0,141.0,18.0,8.0,9500.0,9.0,9.0,-3.12,9.4,1.0,38.0,-0.8,38.0,8.0,8.0,0,3.5,0,0.0
Graduate,5.0,14.4,6.0,12.66666667,129.9,1.0,8.0,132.0,18.0,6.0,9773.0,4.0,16.5,0.32,7.6,1.0,12.0,2.6,12.0,6.0,6.0,0,3.5,0,0.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,134.8,1.0,0.0,133.0,18.0,0.0,8378.5,7.0,6.0,1.79,12.4,17.0,1.0,0.5,1.0,2.0,2.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,2.0,13.0,104.1,0.0,8.0,109.0,21.0,16.0,9085.0,9.0,4.0,-4.06,15.5,17.0,19.0,2.8,19.0,6.0,6.0,1,1.0,1,0.0
Graduate,4.0,12.4,5.0,10.875,122.4,1.0,8.0,135.0,19.0,10.0,9147.0,5.0,5.0,0.79,13.9,1.0,38.0,-0.3,1.0,5.0,5.0,0,1.0,1,0.0
Graduate,5.0,11.6,5.0,12.8,120.6,1.0,8.0,122.0,19.0,5.0,9147.0,7.0,9.0,-3.12,9.4,1.0,37.0,-0.8,37.0,5.0,5.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,5.0,11.28571429,112.4,1.0,7.0,118.0,19.0,10.0,9238.0,10.0,4.0,-0.92,16.2,17.0,19.0,0.3,1.0,6.0,6.0,0,3.0,0,0.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,157.9,1.0,0.0,162.5,18.0,0.0,8378.5,3.0,3.0,0.79,13.9,1.0,3.0,-0.3,5.0,2.0,2.0,0,1.0,0,0.0
Dropout,1.0,10.0,0.0,7.3999999999999995,125.9,1.0,11.0,142.0,19.0,0.0,9254.0,9.0,9.0,1.74,10.8,43.0,38.0,1.4,38.0,6.0,6.0,1,1.0,0,0.0
Dropout,8.0,13.74444444,6.0,13.76666667,118.4,1.0,9.0,131.0,20.0,9.0,9500.0,7.0,5.0,-0.92,16.2,17.0,1.0,0.3,38.0,8.0,7.0,1,2.0,0,0.0
Dropout,6.0,12.75833333,6.0,12.75833333,130.8,0.0,9.0,139.0,18.0,9.0,9500.0,1.0,1.0,-3.12,9.4,1.0,18.0,-0.8,18.0,8.0,8.0,0,3.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,160.15000000000003,1.0,0.0,162.5,19.0,0.0,8378.5,8.0,8.0,2.02,11.1,1.0,19.0,0.6,19.0,2.0,2.0,1,1.0,0,0.0
Graduate,6.0,13.25,6.0,12.66666667,156.8,1.0,8.0,162.5,18.0,6.0,9070.0,7.0,5.0,1.74,10.8,1.0,1.0,1.4,19.0,6.0,6.0,0,1.0,0,0.0
Enrolled,4.0,12.75,6.0,12.0,126.8,1.0,16.0,125.0,18.0,13.0,9085.0,7.0,3.0,2.02,11.1,1.0,37.0,0.6,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.0,6.0,12.25,128.0,1.0,8.0,142.0,19.0,8.0,9238.0,7.0,5.0,-0.92,16.2,1.0,37.0,0.3,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,5.0,12.2,3.0,11.33333333,113.8,1.0,8.0,119.0,20.0,8.0,9147.0,5.0,4.0,0.32,7.6,1.0,37.0,2.6,19.0,5.0,5.0,0,2.0,0,0.0
Graduate,8.0,13.05,7.0,13.50714286,120.8,1.0,12.0,128.0,19.0,9.0,9500.0,5.0,4.0,-0.92,16.2,17.0,1.0,0.3,1.0,8.0,7.0,1,3.5,0,0.0
Graduate,7.0,13.61428571,7.0,13.61428571,130.8,1.0,8.0,150.0,18.0,8.0,9500.0,1.0,1.0,-1.7,12.7,1.0,38.0,3.7,19.0,8.0,8.0,0,3.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,101.0,1.0,6.0,133.1,25.0,6.0,9254.0,1.0,4.0,-4.06,15.5,39.0,1.0,2.8,19.0,6.0,6.0,0,1.0,1,0.0
Graduate,6.0,12.16666667,4.0,11.5,126.1,0.0,6.0,131.0,18.0,9.0,9070.0,9.0,9.0,0.32,7.6,17.0,37.0,2.6,37.0,6.0,6.0,0,3.5,0,0.0
Graduate,6.0,12.5,6.0,12.33333333,113.8,1.0,7.0,118.0,19.0,7.0,9773.0,9.0,9.0,3.51,8.9,1.0,19.0,1.4,38.0,6.0,6.0,0,3.5,0,0.0
Graduate,8.0,14.4375,7.0,11.97142857,118.3,1.0,8.0,122.0,19.0,7.0,9556.0,8.0,4.0,-4.06,15.5,17.0,38.0,2.8,19.0,8.0,7.0,1,2.0,0,0.0
Dropout,2.0,11.5,2.0,13.0,127.9,0.0,13.0,116.0,20.0,12.0,9147.0,8.0,5.0,-3.12,9.4,1.0,19.0,-0.8,19.0,5.0,5.0,1,1.0,1,0.0
Enrolled,7.0,12.72857143,7.0,12.38571429,131.1,1.0,9.0,137.0,18.0,9.0,9500.0,4.0,5.0,0.79,13.9,17.0,1.0,-0.3,1.0,8.0,7.0,0,3.5,0,0.0
Graduate,5.0,11.28571429,2.0,13.5,117.9,1.0,12.0,128.0,20.0,12.0,9085.0,9.0,4.0,1.74,10.8,17.0,37.0,1.4,38.0,5.0,5.0,0,3.5,0,0.0
Graduate,6.0,13.28571429,6.0,12.16666667,115.7,1.0,7.0,123.0,21.0,8.0,9238.0,9.0,9.0,2.02,11.1,17.0,1.0,0.6,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,141.0,1.0,0.0,133.1,19.0,0.0,8378.5,3.0,2.0,-1.7,12.7,1.0,1.0,3.7,3.0,2.0,2.0,0,2.0,0,0.0
Graduate,6.0,13.66666667,6.0,11.66666667,120.0,1.0,6.0,110.0,34.0,6.0,8378.5,9.0,7.0,1.74,10.8,39.0,37.0,1.4,37.0,6.0,6.0,0,1.0,0,0.0
Enrolled,5.0,14.16666667,5.0,12.4,131.8,0.0,12.0,143.0,18.0,9.0,9130.0,2.0,2.0,3.51,8.9,17.0,3.0,1.4,3.0,6.0,6.0,0,1.0,1,0.0
Graduate,6.0,12.83333333,5.0,13.4,131.1,1.0,6.0,150.0,19.0,7.0,9070.0,6.0,9.0,-4.06,15.5,1.0,37.0,2.8,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,4.0,12.5,6.0,12.0,117.8,1.0,11.0,129.0,18.0,11.0,9254.0,5.0,9.0,3.51,8.9,1.0,19.0,1.4,38.0,6.0,6.0,0,3.5,0,0.0
Graduate,5.0,14.8,5.0,14.2,140.0,1.0,5.0,140.0,21.0,6.0,9085.0,5.0,4.0,1.74,10.8,10.0,19.0,1.4,19.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,14.42857143,6.0,12.125,108.0,1.0,7.0,133.1,20.0,8.0,9238.0,5.0,5.0,-0.92,16.2,1.0,37.0,0.3,38.0,6.0,6.0,1,1.0,0,0.0
Graduate,7.0,13.28571429,7.0,13.85714286,122.9,1.0,7.0,132.0,20.0,7.0,9853.0,3.0,3.0,2.02,11.1,1.0,19.0,0.6,1.0,7.0,7.0,0,1.0,0,0.0
Enrolled,5.0,12.33333333,3.0,11.75,130.0,1.0,13.0,130.0,21.0,13.0,9085.0,9.0,2.0,1.79,12.4,44.0,1.0,0.5,3.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,13.12555556,7.0,14.28333333,126.0,1.0,9.0,137.0,19.0,9.0,9500.0,7.0,7.0,-4.06,15.5,1.0,37.0,2.8,38.0,8.0,7.0,0,3.5,0,0.0
Graduate,9.0,13.0,10.5,13.27272727,134.0,1.0,13.0,133.1,21.0,16.0,9238.0,9.0,4.0,0.32,7.6,42.0,19.0,2.6,1.0,10.0,10.0,0,1.0,0,0.0
Graduate,6.0,15.14285714,6.0,14.66666667,134.3,1.0,7.0,143.0,19.0,6.0,9070.0,16.5,16.5,3.51,8.9,1.0,19.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,15.092,7.0,15.115,138.7,1.0,10.0,148.0,19.0,10.0,9500.0,9.0,9.0,-4.06,15.5,1.0,19.0,2.8,19.0,8.0,7.0,1,1.0,0,0.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,143.3,1.0,0.0,137.0,18.0,0.0,8378.5,1.0,4.0,-3.12,9.4,17.0,1.0,-0.8,1.0,2.0,2.0,0,2.0,0,0.0
Graduate,6.0,13.14285714,6.0,15.0,160.0,1.0,7.0,160.0,22.0,13.0,9085.0,10.0,9.0,-0.92,16.2,44.0,19.0,0.3,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,14.33333333,5.0,13.2,111.0,1.0,9.0,112.0,21.0,8.0,9853.0,5.0,3.0,-3.12,9.4,1.0,1.0,-0.8,3.0,6.0,6.0,0,2.0,0,0.0
Dropout,3.0,10.33333333,2.0,11.0,128.5,1.0,14.0,133.0,18.0,14.0,9254.0,8.0,5.0,0.32,7.6,17.0,37.0,2.6,37.0,6.0,6.0,1,3.5,0,0.0
Graduate,7.0,14.56571429,7.0,14.56571429,133.0,1.0,8.0,142.0,20.0,8.0,9500.0,2.0,1.0,1.74,10.8,1.0,3.0,1.4,1.0,8.0,8.0,1,3.5,0,0.0
Dropout,4.0,10.75,3.0,12.0,114.6,0.0,6.0,123.0,18.0,8.0,9670.0,0.0,0.0,0.32,7.6,17.0,37.0,2.6,34.0,5.0,5.0,0,2.0,1,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,104.1,1.0,5.0,103.0,20.0,6.0,9238.0,9.0,7.0,3.51,8.9,17.0,37.0,1.4,19.0,5.0,6.0,0,1.0,0,0.0
